feature,importance
0037,0.001043687
0383,0.0010427255
0504,0.0010413768
0373,0.0010405205
0604,0.0010400008
0328,0.0010399248
0340,0.001038795
0629,0.0010376364
0122,0.0010357825
1038,0.0010352515
3721,0.0010333539
1082,0.0010325507
1410,0.0010313933
0382,0.0010308882
2800,0.0010273886
1164,0.0010265723
0427,0.0010262347
1557,0.0010262236
2892,0.0010256392
0083,0.0010236851
0829,0.001022161
0406,0.0010214073
1321,0.0010211916
0765,0.001020812
0569,0.0010195272
0910,0.0010193834
3945,0.0010185619
3868,0.0010168395
1303,0.0010159855
3884,0.0010135148
3265,0.0010128334
1105,0.0010084528
0357,0.0010080218
0118,0.0010069596
0104,0.0010054819
0617,0.000998824
0944,0.0009976252
0535,0.0009962092
0957,0.0009942647
0365,0.0009941498
0419,0.0009908545
1384,0.0009901853
1092,0.0009875721
0565,0.0009868043
1976,0.0009860117
0906,0.0009853414
2844,0.0009852757
0088,0.00097609666
1009,0.0009751667
4291,0.0009745251
0258,0.00097174884
2839,0.0009715744
1212,0.0009685205
2357,0.0009668215
1715,0.0009657307
0833,0.0009630574
2017,0.0009626602
1226,0.00096170534
1190,0.00096009625
1428,0.00095943204
1886,0.0009587294
0213,0.00095678784
1343,0.0009566045
0295,0.00095246214
0054,0.00095191476
0323,0.00095177686
1900,0.00095138274
0410,0.0009504861
2597,0.00095024565
0936,0.00094981346
1589,0.0009459907
0760,0.0009446646
0337,0.00094433787
0093,0.0009436247
2649,0.00094324956
3086,0.0009429506
2585,0.0009420789
1265,0.0009415103
0085,0.00094092527
0275,0.0009406755
2064,0.0009402785
3592,0.00093895395
0084,0.0009385171
0885,0.0009381148
2878,0.00093591603
0229,0.00093573186
0626,0.0009354052
0047,0.00093482964
2749,0.0009345186
2924,0.0009343362
1670,0.00093394483
0008,0.0009331339
0872,0.00093219476
0988,0.00093189656
0870,0.000931074
0182,0.0009302699
1315,0.0009302565
0095,0.00092879555
0867,0.0009286065
0362,0.00092856993
0473,0.0009261552
0207,0.00092609756
1187,0.00092477177
0958,0.0009241919
2635,0.00092413666
2135,0.00092346466
0863,0.00092222454
1257,0.00092199486
0860,0.0009215643
2826,0.00092076405
2549,0.0009189007
1221,0.00091699086
0292,0.0009156941
1034,0.00091531436
1319,0.0009147368
1241,0.0009143057
1314,0.000913417
0136,0.0009131047
1451,0.00091259065
0453,0.00091257296
2440,0.0009125217
0694,0.00091057655
1630,0.0009096663
2995,0.0009092329
1293,0.00090855453
1072,0.0009077849
1524,0.00090764754
0730,0.0009071494
1679,0.00090670434
0763,0.0009059427
1347,0.00090524706
0843,0.00090521824
2049,0.0009041882
0041,0.0009038501
0162,0.00090257026
0228,0.0009021799
0844,0.0009005895
0439,0.0008998451
2161,0.0008995568
0198,0.0008994543
0261,0.0008986533
0468,0.0008985363
2370,0.00089746056
1457,0.000897146
0034,0.0008953514
1032,0.0008953389
2345,0.0008952942
0898,0.0008945025
1001,0.0008943086
1877,0.0008930475
1828,0.00089207076
2273,0.00089162774
2413,0.00089149043
2519,0.0008911276
0679,0.0008906971
1515,0.00089030527
2230,0.0008901937
1154,0.0008897117
0858,0.000889242
1264,0.0008892036
0750,0.00088868383
0757,0.0008884641
1612,0.0008873294
2405,0.0008869506
2506,0.0008862197
0560,0.00088610046
0509,0.00088497996
0043,0.00088451785
0613,0.0008840633
2497,0.0008834985
0529,0.0008814074
1320,0.0008810534
3375,0.0008803226
0387,0.000878985
0325,0.00087838375
0493,0.00087549386
0249,0.0008745153
2697,0.0008744631
0496,0.00087379897
0983,0.00087278825
1245,0.00087095564
0886,0.0008706385
0864,0.00086966425
0998,0.0008690505
2201,0.00086887577
2509,0.0008686175
3960,0.00086715986
3213,0.00086654193
0755,0.00086490915
2407,0.0008647425
0381,0.000864739
0218,0.00086459215
1874,0.00086438557
0636,0.0008635699
1439,0.0008625749
0915,0.0008625075
1137,0.00086248235
0307,0.00086077204
3770,0.00086019846
3352,0.0008594877
0813,0.0008591371
2200,0.00085816404
1287,0.00085808185
1699,0.0008575998
1461,0.0008575334
0814,0.00085743604
0756,0.0008557528
1535,0.00085385516
4710,0.0008523406
1966,0.0008509267
1172,0.000850844
0549,0.0008504762
1716,0.00085030845
1901,0.0008502266
0336,0.00084918184
0347,0.00084901287
1069,0.0008483832
0777,0.00084757817
2478,0.000846599
1255,0.0008448764
1453,0.0008440487
1946,0.0008437638
2862,0.0008430221
1201,0.00084284774
1917,0.00084226567
0255,0.0008420271
1095,0.00084081374
2123,0.0008396176
0324,0.0008393673
2471,0.00083877065
0718,0.00083870906
1971,0.00083766517
1244,0.0008369295
0706,0.0008362003
0414,0.0008357961
3174,0.00083549984
1388,0.0008349019
2356,0.0008340253
3288,0.0008339348
0793,0.00083387963
4685,0.00083210616
2418,0.0008311448
0601,0.0008311001
1104,0.0008308923
0341,0.00083040993
0979,0.0008282077
0667,0.0008281648
2874,0.00082800066
4837,0.0008276442
2911,0.0008268756
2813,0.00082632655
0091,0.0008259149
